1995:Q4,-999.000,2.243,2.243,1.920
1996:Q1,2.606,2.606,2.606,2.060
1996:Q2,2.220,2.220,2.220,1.519
1996:Q3,1.837,1.837,2.208,1.830
1996:Q4,1.827,1.827,1.827,1.701
1997:Q1,2.738,2.738,2.701,1.982
1997:Q2,1.403,1.511,1.765,1.873
1997:Q3,1.397,1.469,1.433,1.169
1997:Q4,1.535,1.464,1.428,1.378
1998:Q1,0.923,1.030,1.173,0.577
1998:Q2,0.857,0.822,0.857,0.919
1998:Q3,0.820,0.820,0.999,1.455
1998:Q4,0.853,0.711,0.818,1.051
1999:Q1,1.423,1.458,1.601,1.507
1999:Q2,1.595,1.524,1.346,1.684
1999:Q3,0.964,1.119,1.080,1.424
1999:Q4,2.046,2.007,1.964,1.980
2000:Q1,2.689,2.689,3.039,3.007
2000:Q2,2.510,2.587,2.395,2.221
2000:Q3,2.000,1.924,1.582,2.588
2000:Q4,2.068,1.916,1.992,2.145
2001:Q1,3.155,3.231,3.231,2.572
2001:Q2,2.265,2.227,2.115,2.830
2001:Q3,2.141,2.141,2.253,1.301
2001:Q4,-0.327,-0.255,-0.109,1.259
2002:Q1,0.804,0.951,1.244,1.178
2002:Q2,1.167,1.131,1.241,1.663
2002:Q3,1.127,0.981,1.018,1.780
2002:Q4,1.745,1.635,1.781,2.106
2003:Q1,2.541,2.504,2.358,2.522
2003:Q2,0.969,0.861,1.005,1.301
2003:Q3,1.759,-999.000,1.641,2.187
2003:Q4,1.096,1.203,1.520,1.998
2004:Q1,2.481,2.615,2.849,3.488
2004:Q2,3.195,3.225,3.225,3.407
2004:Q3,1.267,1.301,1.420,2.646
2004:Q4,2.005,2.095,2.259,2.825
2005:Q1,3.260,3.163,2.885,3.742
2005:Q2,2.408,2.430,2.566,2.914
2005:Q3,3.120,3.010,3.308,3.766
2005:Q4,3.019,3.313,3.473,3.061
2006:Q1,3.259,3.295,3.126,3.121
2006:Q2,3.304,3.343,3.304,3.337
2006:Q3,1.828,1.768,1.880,2.825
2006:Q4,1.544,1.652,1.673,1.440
2007:Q1,3.968,3.999,4.172,4.545
2007:Q2,2.695,2.681,2.643,2.325
2007:Q3,0.769,0.937,1.042,1.332
2007:Q4,2.561,2.673,2.435,1.680
2008:Q1,2.603,2.593,2.691,2.311
2008:Q2,1.057,1.189,1.116,1.778
2008:Q3,4.170,4.177,3.937,2.769
2008:Q4,-0.068,0.488,0.547,0.749
2009:Q1,2.899,2.839,2.813,0.965
2009:Q2,0.237,0.037,-0.018,-0.622
2009:Q3,0.783,0.530,0.391,-0.028
2009:Q4,0.625,0.372,0.508,1.211
2010:Q1,0.854,1.045,1.082,1.340
2010:Q2,1.831,1.913,1.927,1.859
2010:Q3,2.275,2.286,2.098,1.847
2010:Q4,0.335,0.418,0.382,2.062
2011:Q1,1.895,1.903,2.038,1.761
2011:Q2,2.330,2.428,2.518,3.006
2011:Q3,2.521,2.517,2.571,2.347
2011:Q4,0.437,0.885,0.882,0.552
2012:Q1,1.524,1.673,2.025,2.146
2012:Q2,1.559,1.598,1.552,1.789
2012:Q3,2.832,2.729,2.658,2.373
2012:Q4,0.595,0.887,0.964,1.486
2013:Q1,1.170,1.145,1.229,1.446
2013:Q2,0.749,0.753,0.647,0.933
2013:Q3,1.905,1.958,1.974,2.069
2013:Q4,1.277,1.577,1.561,2.115
2014:Q1,1.317,1.287,1.272,1.603
2014:Q2,1.983,2.134,2.123,2.205
2014:Q3,1.311,1.430,1.419,1.875
2014:Q4,-0.018,0.118,0.140,0.584
2015:Q1,-0.055,-0.077,-0.015,-0.135
2015:Q2,2.020,2.080,2.117,2.210
2015:Q3,1.242,1.330,1.319,1.379
2015:Q4,0.784,0.894,0.883,0.760
2016:Q1,0.742,0.633,0.418,0.294
2016:Q2,2.213,2.312,2.308,2.442
2016:Q3,1.511,1.402,1.424,1.388
2016:Q4,2.098,1.999,2.079,1.982
2017:Q1,2.264,2.232,1.946,2.019
2017:Q2,1.019,0.968,1.015,1.015
2017:Q3,2.173,2.140,2.101,2.101
2017:Q4,2.362,2.329,-999.000,2.329
