1995:Q1,2.819,2.692,2.699,1.376
1995:Q2,0.528,1.109,1.301,1.403
1995:Q3,4.205,4.205,3.246,3.470
1995:Q4,-999.000,0.919,0.486,2.867
1996:Q1,2.809,2.322,2.154,2.652
1996:Q2,4.221,4.792,4.676,7.170
1996:Q3,2.171,1.964,2.094,3.752
1996:Q4,4.717,3.865,3.818,4.295
1997:Q1,5.611,5.772,5.909,3.082
1997:Q2,2.163,3.625,3.307,6.175
1997:Q3,3.521,3.280,3.074,5.189
1997:Q4,4.298,3.898,3.710,3.140
1998:Q1,4.242,4.787,5.363,4.016
1998:Q2,1.417,1.628,1.829,3.936
1998:Q3,3.288,3.864,3.672,5.339
1998:Q4,5.585,6.054,6.009,6.730
1999:Q1,4.492,4.072,4.336,3.233
1999:Q2,2.288,1.801,1.608,3.338
1999:Q3,4.824,5.538,5.676,5.132
1999:Q4,5.798,6.928,7.281,7.124
2000:Q1,5.391,5.395,5.464,1.167
2000:Q2,5.190,5.312,5.647,7.771
2000:Q3,2.745,2.364,2.190,0.484
2000:Q4,1.373,1.059,1.037,2.291
2001:Q1,1.982,1.318,1.245,-1.131
2001:Q2,0.735,0.167,0.309,2.137
2001:Q3,-0.355,-1.062,-1.334,-1.259
2001:Q4,0.224,1.395,1.651,1.116
2002:Q1,5.836,5.577,6.126,3.735
2002:Q2,1.059,1.133,1.253,2.224
2002:Q3,3.137,3.959,4.029,1.963
2002:Q4,0.744,1.437,1.382,0.253
2003:Q1,1.598,1.892,1.428,2.090
2003:Q2,2.370,3.114,3.281,3.763
2003:Q3,7.155,-999.000,8.203,6.870
2003:Q4,4.024,4.106,4.142,4.758
2004:Q1,4.158,4.446,3.905,2.320
2004:Q2,3.044,2.792,3.301,2.963
2004:Q3,3.711,3.952,4.001,3.686
2004:Q4,3.147,3.811,3.848,3.504
2005:Q1,3.088,3.483,3.759,4.332
2005:Q2,3.414,3.287,3.310,2.105
2005:Q3,3.805,4.284,4.143,3.404
2005:Q4,1.119,1.627,1.653,2.304
2006:Q1,4.818,5.309,5.638,4.893
2006:Q2,2.458,2.901,2.559,1.202
2006:Q3,1.583,2.210,1.960,0.357
2006:Q4,3.473,2.220,2.452,3.168
2007:Q1,1.260,0.651,0.690,0.248
2007:Q2,3.382,3.955,3.821,3.097
2007:Q3,3.896,4.922,4.907,2.718
2007:Q4,0.636,0.626,0.578,1.435
2008:Q1,0.597,0.901,0.959,-2.702
2008:Q2,1.889,3.278,2.825,2.000
2008:Q3,-0.252,-0.514,-0.511,-1.906
2008:Q4,-3.804,-6.248,-6.342,-8.186
2009:Q1,-6.144,-5.719,-5.493,-5.429
2009:Q2,-1.017,-1.014,-0.738,-0.539
2009:Q3,3.534,2.782,2.235,1.313
2009:Q4,5.731,5.927,5.554,3.928
2010:Q1,3.239,3.036,2.738,1.741
2010:Q2,2.387,1.614,1.719,3.921
2010:Q3,2.010,2.525,2.559,2.729
2010:Q4,3.173,2.788,3.114,2.543
2011:Q1,1.748,1.842,1.915,-1.536
2011:Q2,1.282,0.989,1.334,2.943
2011:Q3,2.464,2.004,1.815,0.843
2011:Q4,2.752,2.982,2.955,4.582
2012:Q1,2.204,1.860,1.872,2.678
2012:Q2,1.537,1.732,1.253,1.881
2012:Q3,2.014,2.672,3.106,0.480
2012:Q4,-0.144,0.126,0.379,0.091
2013:Q1,2.502,2.386,1.777,2.827
2013:Q2,1.674,2.516,2.482,0.769
2013:Q3,2.846,3.601,4.134,3.121
2013:Q4,3.228,2.385,2.627,3.960
2014:Q1,0.108,-0.985,-2.930,-0.916
2014:Q2,3.948,4.172,4.592,4.601
2014:Q3,3.549,3.896,4.967,5.212
2014:Q4,2.642,2.192,2.217,2.015
2015:Q1,0.248,-0.749,-0.172,3.240
2015:Q2,2.322,3.685,3.921,2.741
2015:Q3,1.492,2.078,1.984,1.631
2015:Q4,0.691,1.005,1.387,0.485
2016:Q1,0.538,0.841,1.073,0.581
2016:Q2,1.218,1.099,1.414,2.237
2016:Q3,2.901,3.158,3.516,2.779
2016:Q4,1.874,1.857,2.080,1.759
2017:Q1,0.694,1.154,1.423,1.235
2017:Q2,2.568,3.035,3.061,3.061
2017:Q3,2.988,3.295,3.156,3.156
2017:Q4,2.555,2.536,-999.000,2.536
